位号,型号 / 值,厂商,厂商料号,供应商,供应商料号,立创料号,封装,容差,耐压,数量,说明
U1,STM32F103C8T6,ST(意法半导体),STM32F103C8T6,LCSC,STM32F103C8T6.1,,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,,,1,
U2,AMS1117-3.3,Advanced Monolithic Systems,AMS1117-3.3,LCSC,pid8a0e77bacb214e,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,,1,
X1,X50328MSB2GI,YXC(扬兴晶振),X50328MSB2GI,LCSC,X50328MSB2GI.1,,CRYSTAL-SMD_L5.0-W3.2,,,1,
SW1,TS-1187A-B-A-B,XKB Connection(中国星坤),TS-1187A-B-A-B,LCSC,TS-1187A-B-A-B.1,,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,,,1,
USB1,TYPE-C-31-M-12,韩国韩荣,TYPE-C-31-M-12,LCSC,TYPE-C-31-M-12.1,,USB-C_SMD-TYPE-C-31-M-12_1,,,1,
J1,PZ254V-11-04P,XFCN(兴飞),PZ254V-11-04P,LCSC,PZ254V-11-04P_C2691448.1,,HDR-TH_4P-P2.54-V-M,,,1,
D1,KT-0603R,KENTO,KT-0603R,LCSC,KT-0603R.1,,LED-SMD_L1.6-W0.8-R-RD,,,1,
R1,0603WAF1002T5E,UNI-ROYAL(厚声),0603WAF1002T5E,LCSC,0603WAF1002T5E.1,,R0603,,,1,
R2,0603WAF1002T5E,UNI-ROYAL(厚声),0603WAF1002T5E,LCSC,0603WAF1002T5E.1,,R0603,,,1,
R3,0603WAF1001T5E,UNI-ROYAL(厚声),0603WAF1001T5E,LCSC,0603WAF1001T5E.1,,R0603,,,1,
R4,0603WAF5101T5E,UNI-ROYAL(厚声),0603WAF5101T5E,LCSC,0603WAF5101T5E.1,,R0603,,,1,
R5,0603WAF5101T5E,UNI-ROYAL(厚声),0603WAF5101T5E,LCSC,0603WAF5101T5E.1,,R0603,,,1,
C1,CL10C220JB8NNNC,SAMSUNG(三星),CL10C220JB8NNNC,LCSC,pid8a0e77bacb214e,,C0603,,,1,
C2,CL10C220JB8NNNC,SAMSUNG(三星),CL10C220JB8NNNC,LCSC,pid8a0e77bacb214e,,C0603,,,1,
C3,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C4,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C5,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C6,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C7,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C8,CL10A105KB8NNNC,SAMSUNG(三星),CL10A105KB8NNNC,LCSC,CL10A105KB8NNNC.1,,C0603,,,1,
C9,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C10,CL21A106KAYNNNE,SAMSUNG(三星),CL21A106KAYNNNE,LCSC,CL21A106KAYNNNE.1,,C0805,,,1,
C11,CL21A106KAYNNNE,SAMSUNG(三星),CL21A106KAYNNNE,LCSC,CL21A106KAYNNNE.1,,C0805,,,1,
C12,CC0603KRX7R9BB104,YAGEO(国巨),CC0603KRX7R9BB104,LCSC,CC0603KRX7R9BB104.1,,C0603,,,1,
C13,CL21A106KAYNNNE,SAMSUNG(三星),CL21A106KAYNNNE,LCSC,CL21A106KAYNNNE.1,,C0805,,,1,
