料号,厂商,封装,数量,位号
STM32F103C8T6,ST(意法半导体),LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,U1
AMS1117-3.3,Advanced Monolithic Systems,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,U2
X50328MSB2GI,YXC(扬兴晶振),CRYSTAL-SMD_L5.0-W3.2,1,X1
TS-1187A-B-A-B,XKB Connection(中国星坤),SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,SW1
TYPE-C-31-M-12,韩国韩荣,USB-C_SMD-TYPE-C-31-M-12_1,1,USB1
PZ254V-11-04P,XFCN(兴飞),HDR-TH_4P-P2.54-V-M,1,J1
KT-0603R,KENTO,LED-SMD_L1.6-W0.8-R-RD,1,D1
0603WAF1002T5E,UNI-ROYAL(厚声),R0603,2,"R1, R2"
0603WAF1001T5E,UNI-ROYAL(厚声),R0603,1,R3
0603WAF5101T5E,UNI-ROYAL(厚声),R0603,2,"R4, R5"
CL10C220JB8NNNC,SAMSUNG(三星),C0603,2,"C1, C2"
CC0603KRX7R9BB104,YAGEO(国巨),C0603,7,"C3, C4, C5, C6, C7, C9, C12"
CL10A105KB8NNNC,SAMSUNG(三星),C0603,1,C8
CL21A106KAYNNNE,SAMSUNG(三星),C0805,3,"C10, C11, C13"
